2025-09-21 00:00:00.178,10.0.0.1,10.0.0.3,65490,80,TCP,1420,02:00:00:00:00:01,02:00:00:00:00:03,0x0018,0.0
2025-09-21 00:00:00.187,10.0.0.3,10.0.0.2,61687,443,TCP,64,02:00:00:00:00:03,02:00:00:00:00:02,0x0018,8.431
2025-09-21 00:00:00.200,10.0.0.2,10.0.0.3,443,49846,TCP,512,02:00:00:00:00:02,02:00:00:00:00:03,0x0018,13.287
2025-09-21 00:00:00.246,10.0.0.2,10.0.0.4,53,65077,UDP,128,02:00:00:00:00:02,02:00:00:00:00:04,,45.846
2025-09-21 00:00:00.299,10.0.0.1,10.0.0.3,52820,80,TCP,64,02:00:00:00:00:01,02:00:00:00:00:03,0x0018,52.584
2025-09-21 00:00:00.384,10.0.0.2,10.0.0.3,443,50994,TCP,1024,02:00:00:00:00:02,02:00:00:00:00:03,0x0018,85.738
2025-09-21 00:00:00.564,10.0.0.4,10.0.0.2,53498,53,UDP,64,02:00:00:00:00:04,02:00:00:00:00:02,,180.122
2025-09-21 00:00:00.688,10.0.0.4,10.0.0.2,55373,53,UDP,1420,02:00:00:00:00:04,02:00:00:00:00:02,,123.864
2025-09-21 00:00:00.777,10.0.0.4,10.0.0.2,55371,53,UDP,64,02:00:00:00:00:04,02:00:00:00:00:02,,88.363
2025-09-21 00:00:00.786,10.0.0.4,10.0.0.2,59979,53,UDP,128,02:00:00:00:00:04,02:00:00:00:00:02,,9.372
2025-09-21 00:00:00.805,10.0.0.1,10.0.0.2,55059,443,TCP,1420,02:00:00:00:00:01,02:00:00:00:00:02,0x0018,18.802
2025-09-21 00:00:00.818,10.0.0.1,10.0.0.2,64352,443,TCP,64,02:00:00:00:00:01,02:00:00:00:00:02,0x0018,13.221
2025-09-21 00:00:00.920,10.0.0.4,10.0.0.2,59346,53,UDP,512,02:00:00:00:00:04,02:00:00:00:00:02,,102.192
2025-09-21 00:00:00.971,10.0.0.1,10.0.0.2,52470,443,TCP,128,02:00:00:00:00:01,02:00:00:00:00:02,0x0018,50.834
2025-09-21 00:00:01.140,10.0.0.3,10.0.0.1,80,65332,TCP,512,02:00:00:00:00:03,02:00:00:00:00:01,0x0018,168.888
